start	end	text
0	4720	Deepen your subject knowledge, exchange innovative ideas and augment your existing income.
4720	7840	There are so many reasons to become a Pearson Examiner.
7840	11040	In addition to enriching your expertise and progressing your career,
11040	15200	you'll be better prepared to help your learners achieve future success in their exams.
15200	17920	With flexible working options and full training provided,
17920	22080	becoming a Pearson Examiner will open opportunities for both you and your students.
22080	24560	It's a bonafide win-win situation.
24640	30320	Discover more by visiting home.edxlgateway.com forward slash pages forward slash search.
31600	33920	Hi, just leaving work now. Sorry it's a bit loud.
33920	36400	Um, basically, so I was thinking we could get mackeys tonight.
36400	40480	Had a Big Mac on my mind all day and delivery fee on the app is now from 99p.
40480	41600	So, you in?
41600	42400	Of course you are.
42400	43120	Love you. Bye.
43760	45280	Exclusively on the McDonald's app.
46640	48640	18 plus, service fee and small order fee may apply.
48640	50800	Participating in restaurants, serving times and C's and C's apply.
50800	53600	Hello, I'm a National Lottery scratch card.
53600	56240	Over five people a second win with me.
56240	58880	That's like 30 winners since I started talking.
58880	61440	Oh, 12 more, 14.
61440	62480	21!
63120	64880	Is there a win in store for you?
64880	67280	Play a National Lottery scratch card today.
67280	68320	Winners is an average search.
68320	69120	Dream big, play small.
69120	70800	Rules apply, players must be 18 or over.
75600	80160	Hello and welcome to Incident Genius, a bite-sized masterclass in podcast form.
80160	83200	Every Monday and Friday, you'll hear world-leading scientists and experts
83200	86560	talking about the most fascinating ideas in science and technology today.
87200	90320	I'm Jason Goodger, Commissioning Editor at BBC Science Focus.
91440	94640	In the world of games, scoring systems establish a framework
94640	97600	that provides us with clear challenges, motivation
97600	101040	and ultimately delivers a huge amount of fun and pleasure.
101040	106000	However, on the flip side, the increasing tendency to apply rankings and metrics
106000	109200	to almost every area of our personal and professional lives
109200	112640	can have a dehumanising effect, reducing our actions,
112640	116240	performance and even ourselves to a simple string of numbers.
116880	120880	In today's episode, we're joined by C.T. Nguyen, a games researcher
120880	124480	and associate professor of philosophy based at the University of Utah,
124480	129360	to talk about his latest book, The Score, How to Stop Playing Someone Else's Game.
130080	134800	He explains how in the real world, scoring systems typically fail to provide meaning
134800	137200	by focusing on the simplest to measure outcomes.
137840	142160	How purely numerical data is, by definition, lacking in nuance.
142800	145520	How, by concentrating on what we truly value,
145520	148640	we can all break free from the tyranny of rankings and metrics.
